baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene
ENSG00000175121.11	33.0044976106848	7.88674218515968	1.49954858652796	5.25941090273079	1.44517630502394e-07	1.69768008232462e-06	WFDC5
ENSG00000173114.13	19.6729991765663	7.80839729710672	1.52226514825283	5.12945941518057	2.90575406867789e-07	3.28799644922832e-06	LRRN3
ENSG00000162692.12	10.1406993849514	7.68609181990055	1.59662350279192	4.81396635240577	1.47963731553193e-06	1.51322354663881e-05	VCAM1
ENSG00000226025.9	36.5157636583489	7.67069007121959	1.45273680570472	5.28016502445433	1.29067586033594e-07	1.52223526448879e-06	AC005515.1
ENSG00000171855.7	2530.93540997946	7.64138757455454	0.283769544412098	26.9281454794088	1.02858344894306e-159	1.94877002672827e-157	IFNB1
ENSG00000243978.8	117.861502687216	7.56121320287252	1.4816758291679	5.10314945686794	3.34046978235397e-07	3.7483266851653e-06	RTL9
ENSG00000138135.6	239.118951634574	7.16970895779602	0.743620812585941	9.64161954109831	5.33396950244978e-22	1.71359568059137e-20	CH25H
ENSG00000161031.13	9.10903531314572	7.14989787746513	1.60193935432676	4.46327625209631	8.07158790561121e-06	7.43189570524127e-05	PGLYRP2
ENSG00000169245.6	2906.50404319955	7.11017078353983	0.263498272468711	26.9837472440512	2.29311789788485e-160	4.40099951882367e-158	CXCL10
ENSG00000197110.8	875.570395569498	6.99763770972689	0.339584870550398	20.6064472141681	2.40230498442638e-94	2.71002008090481e-92	IFNL3
ENSG00000261402.1	17.1785202080672	6.70525365784792	1.56087838490081	4.2958206883453	1.74048228477582e-05	0.000151745411235499	AL591222.1
ENSG00000088882.8	25.3489158221702	6.66287402809975	1.53817766456805	4.33166738900141	1.47984379259086e-05	0.000130406270524197	CPXM1
ENSG00000110324.10	28.387257628178	6.65787265933069	1.4788602074313	4.50202975634529	6.730755525823e-06	6.25972971432424e-05	IL10RA
ENSG00000162654.9	2534.22694642194	6.65333293814123	0.150208300019578	44.294043253762	0	0	GBP4
ENSG00000198785.5	11.8938057343228	6.64697678481269	1.58892127130593	4.18332670400313	2.87274091058578e-05	0.000241349432499355	GRIN3A
ENSG00000282851.2	11.3333242617766	6.62789130043432	1.60395340848773	4.13222183721868	3.59273421748137e-05	0.000297608891625222	BISPR
ENSG00000182393.3	1572.00413658978	6.56556668217943	0.284607308940226	23.0688618174537	9.51341364809698e-118	1.30175210084794e-115	IFNL1
ENSG00000285744.1	19.0043207214943	6.54338630888171	1.49026153896187	4.39076372690924	1.12953225086207e-05	0.000101719851329918	AC083837.1
ENSG00000272395.7	72.3827261442734	6.48951769905599	0.766275603983439	8.46890813869137	2.47703923201413e-17	6.44466298780014e-16	IFNL4
ENSG00000250508.1	96.392441242271	6.38842261014296	0.867694653706679	7.36252388193525	1.80465127305089e-13	3.70404673793695e-12	AP000808.1
ENSG00000154451.14	116.071133446135	6.38634034645078	0.864461153699586	7.38765451648061	1.49441423177926e-13	3.09306071669943e-12	GBP5
ENSG00000183709.7	990.378729891723	6.36967332509489	0.252859238747615	25.1905896602521	5.0793217170453e-140	8.24859520159291e-138	IFNL2
ENSG00000077522.13	41.1330343273488	6.31660715117614	1.53494656406105	4.11519677562202	3.86849248658057e-05	0.000318310590014965	ACTN2
ENSG00000225492.6	67.1274850807083	6.25056590585472	0.703175393129135	8.88905665205328	6.16299020240631e-19	1.71842772096529e-17	GBP1P1
ENSG00000271503.6	1201.28421297659	6.240294186619	0.325141624509878	19.1925416994077	4.27224513324951e-82	4.12648618164453e-80	CCL5
ENSG00000131203.13	986.85891630804	6.23862294983565	0.242681734187712	25.7070148716266	9.75767342565809e-146	1.6202123357795e-143	IDO1
ENSG00000225101.6	39.8838286636933	6.18679400649515	0.895749383928268	6.90683590466258	4.95582619390932e-12	9.086501177865e-11	OR52K3P
ENSG00000169248.12	1729.31023238064	6.17652767887963	0.189139532816625	32.6559317711116	6.60098205349291e-234	1.87594832281766e-231	CXCL11
ENSG00000136297.14	14.5829002178296	6.17284333947406	1.58835045759311	3.88632326698731	0.000101773959296314	0.000768924115787799	MMD2
ENSG00000179044.16	18.9800504955076	6.09243314560973	1.12043788022895	5.43754656381734	5.40192357095075e-08	6.74236710570187e-07	EXOC3L1
ENSG00000256262.1	15.5349366832083	6.08671512254146	1.51552070703731	4.01625335389867	5.91306871015765e-05	0.000467540553230122	USP30-AS1
ENSG00000119922.10	16568.7640191731	5.9840636807193	0.145376593545837	41.162497584816	0	0	IFIT2
ENSG00000010030.14	287.401165837689	5.88186479726122	0.304915510557287	19.2901462654722	6.49891945741272e-83	6.31848893037139e-81	ETV7
ENSG00000280270.1	12.5616463724748	5.86739443562143	1.61810611977793	3.62608753771148	0.000287747844812843	0.00194437021062834	AC068299.1
ENSG00000105675.8	15.2906211607069	5.86542129890157	1.60007605203639	3.66571407117603	0.000246649386959441	0.00169297939641738	ATP4A
ENSG00000100336.17	38.0779191143362	5.78616242643875	0.902126512676979	6.41391461743967	1.41829662346497e-10	2.24166711246688e-09	APOL4
ENSG00000153253.17	277.692286839141	5.77675332026765	0.673358607736142	8.57901459029287	9.56893397200911e-18	2.53877390014992e-16	SCN3A
ENSG00000104490.18	23.1480505332615	5.71466451276229	1.49946860017946	3.8111264964657	0.000138334951802858	0.00101118044562379	NCALD
ENSG00000276403.1	7.83515544657427	5.60479201229301	1.68904664253405	3.31831689614221	0.000905616762487562	0.00533620594738485	AC105105.4
ENSG00000156219.16	7.90637912580245	5.60459136820793	1.68989581552587	3.31653070959517	0.000911425700913067	0.00536615498330411	ART3
ENSG00000187889.13	23.57172561148	5.5863576224726	1.50040017511219	3.72324511496068	0.000196678407859962	0.00138669537755463	FYB2
ENSG00000102524.11	113.435883773675	5.57091251767698	0.45468219823444	12.2523215980507	1.63254506815651e-34	7.80768641333882e-33	TNFSF13B
ENSG00000268510.1	46.6104602356669	5.51800876998378	0.794689546259381	6.94360306607423	3.82223512168851e-12	7.08720083165782e-11	IFNL3P1
ENSG00000072858.10	14.2436456368237	5.50100907738881	1.15307873976642	4.77071416519497	1.83573886002693e-06	1.84925350194124e-05	SIDT1
ENSG00000133107.14	16.3121558989117	5.46751136574928	1.62672053838317	3.3610637086955	0.000776429142343246	0.00465479507730162	TRPC4
ENSG00000134321.12	6103.7065714787	5.38216596131387	0.12495980075845	43.0711791203774	0	0	RSAD2
ENSG00000131401.11	14.1697378078551	5.34949034790597	1.54289951050334	3.4671670523512	0.000525974897493315	0.00332173377570778	NAPSB
ENSG00000232810.4	147.739712456246	5.2607602272378	0.362589147348381	14.5088739299282	1.06453801294549e-47	6.8123516863824e-46	TNF
ENSG00000135114.12	4091.65838934447	5.24256778075681	0.0977617234124714	53.6259754611488	0	0	OASL
ENSG00000132274.16	2305.92670493954	5.21376281482301	0.11474522928561	45.4377305904855	0	0	TRIM22
ENSG00000119917.14	5747.021982291	5.21332144209266	0.0811346717547474	64.2551615646071	0	0	IFIT3
ENSG00000124256.15	182.933918557312	5.19585754372407	0.427125387212163	12.1647125160069	4.79129169270665e-34	2.26941373829548e-32	ZBP1
ENSG00000135363.12	66.692834319429	5.17666599572924	0.491775965466512	10.5264721321192	6.52336540671111e-26	2.47185369180453e-24	LMO2
ENSG00000099869.7	17.6485486564529	5.17433368234348	1.64243052919238	3.15041250778979	0.0016304008161055	0.00887769464274397	IGF2-AS
ENSG00000164651.16	14.9329593906193	5.17412105272256	1.65196828679023	3.13209466192348	0.0017356390446455	0.00934399774199314	SP8
ENSG00000240801.1	9.45947625813862	5.17336998399078	1.69005979585633	3.06105736416829	0.00220556834020538	0.011452525977356	AC132217.1
ENSG00000121380.12	38.0861424691629	5.1624810390707	0.688483738546915	7.49833402015626	6.46340273610639e-14	1.37235870164052e-12	BCL2L14
ENSG00000167207.13	7.73874413219875	5.15276838297113	1.62587477153223	3.16922832753911	0.00152844271958855	0.00842182196498119	NOD2
ENSG00000205362.11	8.57172096231242	-5.132492174061	1.52702188832493	-3.36111238044603	0.000776292330538124	0.00465479507730162	MT1A
ENSG00000168497.5	9.12583823084733	5.09081119173689	1.2319283739131	4.13239219059986	3.59007169701863e-05	0.000297555129212234	CAVIN2
ENSG00000261618.2	12.6066217479484	4.97419578371649	1.17435521299132	4.23568246531322	2.27858585722605e-05	0.00019486656133152	LINC02605
