baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene
ENSG00000243978.8	117.861502687216	11.754408407034	1.45582027741785	8.0740793278979	6.79876669790547e-16	1.18037049516713e-14	RTL9
ENSG00000077522.13	41.1330343273488	10.2204202473087	1.47587384629143	6.92499584093216	4.35988330297017e-12	5.79264554219495e-11	ACTN2
ENSG00000171855.7	2530.93540997946	9.64392698347186	0.28243731169207	34.1453716780389	1.56630748223456e-255	3.9279510971149e-253	IFNB1
ENSG00000175121.11	33.0044976106848	9.6217203479387	1.4840009901646	6.48363472242126	8.9538850726628e-11	1.06784246282695e-09	WFDC5
ENSG00000088882.8	25.3489158221702	9.41499561517764	1.49565219267774	6.29490978000807	3.07578700731408e-10	3.46452964467018e-09	CPXM1
ENSG00000153253.17	277.692286839141	9.17663664517209	0.659401993851119	13.916604333538	5.02202685519626e-44	2.25006741680952e-42	SCN3A
ENSG00000271503.6	1201.28421297659	9.10106183878489	0.320562996161755	28.3908684026416	2.62153864483217e-177	4.38282423806386e-175	CCL5
ENSG00000138135.6	239.118951634574	9.07136679365898	0.738659081328177	12.2808573304857	1.14775483449039e-34	4.07950025424381e-33	CH25H
ENSG00000099869.7	17.6485486564529	8.99265139608175	1.51871933670865	5.92120688709378	3.19587507395995e-09	3.26015369126671e-08	IGF2-AS
ENSG00000182393.3	1572.00413658978	8.98347484445038	0.281694969446549	31.8907890407144	3.58290342735149e-223	7.88937857125104e-221	IFNL1
ENSG00000133107.14	16.3121558989117	8.83516148407968	1.52803470766095	5.78204241028279	7.3799095921816e-09	7.29346730139196e-08	TRPC4
ENSG00000164651.16	14.9329593906193	8.73467186959964	1.53070067383797	5.70632261348587	1.15443096587322e-08	1.1122948516439e-07	SP8
ENSG00000261402.1	17.1785202080672	8.73172930636129	1.52440141221601	5.72797245947708	1.01638061477815e-08	9.89313659322598e-08	AL591222.1
ENSG00000164188.8	13.8629509371654	8.7209447547756	1.53996155282985	5.6630925225048	1.48668944791893e-08	1.41580509871436e-07	RANBP3L
ENSG00000105675.8	15.2906211607069	8.69655300620927	1.52780541986785	5.69218625167692	1.25422928018164e-08	1.20267466186722e-07	ATP4A
ENSG00000173114.13	19.6729991765663	8.58730848279267	1.51191788032203	5.6797453053228	1.34895458476224e-08	1.28939777567321e-07	LRRN3
ENSG00000136297.14	14.5829002178296	8.56635039891778	1.53284781903084	5.58851980774839	2.29013258984682e-08	2.13257524715184e-07	MMD2
ENSG00000197110.8	875.570395569498	8.54189337228737	0.337352727466423	25.3203625666182	1.90629936574572e-141	2.47626916171976e-139	IFNL3
ENSG00000154451.14	116.071133446135	8.48518409225639	0.854261063188631	9.93277635830016	2.99789895240038e-23	7.2560406815739e-22	GBP5
ENSG00000169245.6	2906.50404319955	8.46935019474027	0.262754336301079	32.2329606961676	6.09691243074615e-228	1.37607313561941e-225	CXCL10
ENSG00000176716.5	11.9144641449854	8.4628122731248	1.55528276074164	5.44133355473529	5.28831895426628e-08	4.69448805497699e-07	OR10AB1P
ENSG00000214042.1	10.6197669472352	8.36241296032666	1.56697713076245	5.33665284333648	9.46780653915285e-08	8.07895627934517e-07	IFNA7
ENSG00000280270.1	12.5616463724748	8.35797142726811	1.54959267184405	5.39365704235161	6.9037931777971e-08	6.01906758176265e-07	AC068299.1
ENSG00000250508.1	96.392441242271	8.15328976853603	0.858257654217292	9.49981596840124	2.10261557656747e-21	4.78146433885419e-20	AP000808.1
