miRNA Name;Gene Symbol;Gene Description;
99;submission;SMG1;SMG1, nonsense mediated mRNA decay associated PI3K related kinase
96;submission;RFX5;regulatory factor X5
95;submission;CAP2;cyclase associated actin cytoskeleton regulatory protein 2
94;submission;HDAC2;histone deacetylase 2
94;submission;DEGS1;delta 4-desaturase, sphingolipid 1
93;submission;XPR1;xenotropic and polytropic retrovirus receptor 1
93;submission;ZNF827;zinc finger protein 827
93;submission;ACOT13;acyl-CoA thioesterase 13
93;submission;FBP1;fructose-bisphosphatase 1
93;submission;C6orf47;chromosome 6 open reading frame 47
93;submission;ROBO3;roundabout guidance receptor 3
91;submission;PPHLN1;periphilin 1
91;submission;GREM2;gremlin 2, DAN family BMP antagonist
90;submission;C11orf58;chromosome 11 open reading frame 58
90;submission;ONECUT2;one cut homeobox 2
90;submission;PRR27;proline rich 27
89;submission;NOTCH3;notch 3
89;submission;PURG;purine rich element binding protein G
89;submission;PHIP;pleckstrin homology domain interacting protein
89;submission;CFAP161;cilia and flagella associated protein 161
89;submission;SYT7;synaptotagmin 7
88;submission;PCDHGA7;protocadherin gamma subfamily A, 7
88;submission;FAM71F2;family with sequence similarity 71 member F2
88;submission;HECTD1;HECT domain E3 ubiquitin protein ligase 1
88;submission;MLXIP;MLX interacting protein
87;submission;GLCCI1;glucocorticoid induced 1
87;submission;ANGPT2;angiopoietin 2
87;submission;CCDC198;coiled-coil domain containing 198
87;submission;TRA2B;transformer 2 beta homolog
87;submission;CDK8;cyclin dependent kinase 8
87;submission;PRKACA;protein kinase cAMP-activated catalytic subunit alpha
87;submission;CYP4F11;cytochrome P450 family 4 subfamily F member 11
87;submission;SVIL;supervillin
86;submission;OPRL1;opioid related nociceptin receptor 1
86;submission;MTHFD2;methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase
86;submission;ANKRD30B;ankyrin repeat domain 30B
86;submission;GNB1;G protein subunit beta 1
86;submission;CMC4;C-X9-C motif containing 4
85;submission;KCNH8;potassium voltage-gated channel subfamily H member 8
85;submission;PCDHGA11;protocadherin gamma subfamily A, 11
84;submission;SPOCK1;SPARC (osteonectin), cwcv and kazal like domains proteoglycan 1
84;submission;PRSS12;serine protease 12
84;submission;CALB1;calbindin 1
84;submission;EDA;ectodysplasin A
84;submission;DHDDS;dehydrodolichyl diphosphate synthase subunit
84;submission;MTF1;metal regulatory transcription factor 1
84;submission;TIGAR;TP53 induced glycolysis regulatory phosphatase
84;submission;DAAM2;dishevelled associated activator of morphogenesis 2
84;submission;CYP3A4;cytochrome P450 family 3 subfamily A member 4
83;submission;SNTB2;syntrophin beta 2
83;submission;SHISA7;shisa family member 7
83;submission;PDK1;pyruvate dehydrogenase kinase 1
83;submission;PDIA3;protein disulfide isomerase family A member 3
83;submission;ERG28;ergosterol biosynthesis 28 homolog
83;submission;PGM3;phosphoglucomutase 3
83;submission;TUBGCP5;tubulin gamma complex associated protein 5
83;submission;CLUAP1;clusterin associated protein 1
83;submission;PGR;progesterone receptor
