miRNA Name;Gene Symbol;Gene Description;
99;submission;NCAM1;neural cell adhesion molecule 1
99;submission;MARK1;microtubule affinity regulating kinase 1
99;submission;SAMD13;sterile alpha motif domain containing 13
99;submission;ESM1;endothelial cell specific molecule 1
99;submission;PCDH17;protocadherin 17
98;submission;LRRTM3;leucine rich repeat transmembrane neuronal 3
98;submission;ZBTB44;zinc finger and BTB domain containing 44
97;submission;GSK3B;glycogen synthase kinase 3 beta
97;submission;TAF2;TATA-box binding protein associated factor 2
97;submission;SLC1A6;solute carrier family 1 member 6
97;submission;AAK1;AP2 associated kinase 1
97;submission;IQSEC3;IQ motif and Sec7 domain 3
97;submission;TMEM185A;transmembrane protein 185A
97;submission;PPP1R3A;protein phosphatase 1 regulatory subunit 3A
95;submission;RNF141;ring finger protein 141
95;submission;SGCD;sarcoglycan delta
95;submission;RFXAP;regulatory factor X associated protein
95;submission;LURAP1L;leucine rich adaptor protein 1 like
95;submission;USP50;ubiquitin specific peptidase 50
94;submission;CTBS;chitobiase
94;submission;N4BP2L2;NEDD4 binding protein 2 like 2
94;submission;ATP1B4;ATPase Na+/K+ transporting family member beta 4
94;submission;TFAP2A;transcription factor AP-2 alpha
94;submission;ADSSL1;adenylosuccinate synthase like 1
94;submission;RESF1;retroelement silencing factor 1
93;submission;ESYT2;extended synaptotagmin 2
93;submission;KLC2;kinesin light chain 2
93;submission;PCLO;piccolo presynaptic cytomatrix protein
93;submission;KPNA4;karyopherin subunit alpha 4
93;submission;SOX21;SRY-box 21
93;submission;XRN1;5'-3' exoribonuclease 1
93;submission;BOD1L1;biorientation of chromosomes in cell division 1 like 1
93;submission;DUSP11;dual specificity phosphatase 11
92;submission;PTPRS;protein tyrosine phosphatase, receptor type S
92;submission;ANKRD31;ankyrin repeat domain 31
92;submission;ZNF711;zinc finger protein 711
92;submission;CHL1;cell adhesion molecule L1 like
92;submission;SLC17A6;solute carrier family 17 member 6
92;submission;ZNF280D;zinc finger protein 280D
92;submission;TCF12;transcription factor 12
92;submission;BAIAP2L1;BAI1 associated protein 2 like 1
92;submission;GABPB1;GA binding protein transcription factor subunit beta 1
92;submission;PIK3R1;phosphoinositide-3-kinase regulatory subunit 1
92;submission;CCDC191;coiled-coil domain containing 191
91;submission;TAF5;TATA-box binding protein associated factor 5
91;submission;IL1B;interleukin 1 beta
91;submission;LMO7;LIM domain 7
91;submission;WDR36;WD repeat domain 36
91;submission;FBXL7;F-box and leucine rich repeat protein 7
91;submission;NAV1;neuron navigator 1
91;submission;RPE65;RPE65, retinoid isomerohydrolase
90;submission;MEGF11;multiple EGF like domains 11
90;submission;CSDE1;cold shock domain containing E1
90;submission;IGSF23;immunoglobulin superfamily member 23
90;submission;SLC24A1;solute carrier family 24 member 1
90;submission;SERTM1;serine rich and transmembrane domain containing 1
90;submission;HERPUD1;homocysteine inducible ER protein with ubiquitin like domain 1
90;submission;CCNJ;cyclin J
90;submission;CNGB3;cyclic nucleotide gated channel beta 3
90;submission;COPS8;COP9 signalosome subunit 8
89;submission;BACH2;BTB domain and CNC homolog 2
89;submission;CCND2;cyclin D2
89;submission;USP13;ubiquitin specific peptidase 13
89;submission;NAF1;nuclear assembly factor 1 ribonucleoprotein
89;submission;SHOC2;SHOC2, leucine rich repeat scaffold protein
89;submission;FRMD4A;FERM domain containing 4A
89;submission;KCNA1;potassium voltage-gated channel subfamily A member 1
89;submission;TMEM60;transmembrane protein 60
89;submission;MTX3;metaxin 3
89;submission;ATR;ATR serine/threonine kinase
88;submission;RIMKLB;ribosomal modification protein rimK like family member B
88;submission;NEO1;neogenin 1
88;submission;POC5;POC5 centriolar protein
88;submission;BCL2L11;BCL2 like 11
88;submission;RNF144B;ring finger protein 144B
88;submission;XPR1;xenotropic and polytropic retrovirus receptor 1
88;submission;CCDC138;coiled-coil domain containing 138
88;submission;FGL2;fibrinogen like 2
88;submission;DENND1B;DENN domain containing 1B
88;submission;BCL11A;BCL11A, BAF complex component
88;submission;MAML2;mastermind like transcriptional coactivator 2
88;submission;SORBS1;sorbin and SH3 domain containing 1
88;submission;PRKAA2;protein kinase AMP-activated catalytic subunit alpha 2
88;submission;LRRC7;leucine rich repeat containing 7
87;submission;MAB21L1;mab-21 like 1
87;submission;ZYG11B;zyg-11 family member B, cell cycle regulator
87;submission;STS;steroid sulfatase
87;submission;BCAS3;BCAS3, microtubule associated cell migration factor
87;submission;CD209;CD209 molecule
87;submission;CEBPZ;CCAAT enhancer binding protein zeta
87;submission;WDR76;WD repeat domain 76
87;submission;KHDRBS3;KH RNA binding domain containing, signal transduction associated 3
87;submission;DOK5;docking protein 5
87;submission;DDX3X;DEAD-box helicase 3 X-linked
87;submission;PHEX;phosphate regulating endopeptidase homolog X-linked
87;submission;INPP5F;inositol polyphosphate-5-phosphatase F
87;submission;GLIPR1;GLI pathogenesis related 1
87;submission;CCKBR;cholecystokinin B receptor
87;submission;CHURC1;churchill domain containing 1
86;submission;RASA1;RAS p21 protein activator 1
86;submission;KDELR2;KDEL endoplasmic reticulum protein retention receptor 2
86;submission;TKTL1;transketolase like 1
86;submission;MCF2L;MCF.2 cell line derived transforming sequence like
86;submission;RASA2;RAS p21 protein activator 2
86;submission;ZNF689;zinc finger protein 689
86;submission;GRAP2;GRB2 related adaptor protein 2
86;submission;TMEM47;transmembrane protein 47
86;submission;FBXL4;F-box and leucine rich repeat protein 4
86;submission;TGFBR1;transforming growth factor beta receptor 1
86;submission;DCAF8L1;DDB1 and CUL4 associated factor 8 like 1
86;submission;CALM1;calmodulin 1
86;submission;PDIA3;protein disulfide isomerase family A member 3
85;submission;ADAMTS1;ADAM metallopeptidase with thrombospondin type 1 motif 1
85;submission;HOMER1;homer scaffold protein 1
85;submission;AGBL2;ATP/GTP binding protein like 2
85;submission;CLVS1;clavesin 1
85;submission;SERBP1;SERPINE1 mRNA binding protein 1
85;submission;RBM12;RNA binding motif protein 12
85;submission;CKS2;CDC28 protein kinase regulatory subunit 2
85;submission;FBXO11;F-box protein 11
85;submission;FGF1;fibroblast growth factor 1
85;submission;CNTLN;centlein
85;submission;KCNV1;potassium voltage-gated channel modifier subfamily V member 1
85;submission;RAB3GAP2;RAB3 GTPase activating non-catalytic protein subunit 2
85;submission;LCORL;ligand dependent nuclear receptor corepressor like
85;submission;PMAIP1;phorbol-12-myristate-13-acetate-induced protein 1
84;submission;ZNF566;zinc finger protein 566
84;submission;ASCL1;achaete-scute family bHLH transcription factor 1
84;submission;TAB3;TGF-beta activated kinase 1 (MAP3K7) binding protein 3
84;submission;HDDC3;HD domain containing 3
84;submission;CDCA2;cell division cycle associated 2
84;submission;LAMTOR3;late endosomal/lysosomal adaptor, MAPK and MTOR activator 3
84;submission;STRADB;STE20 related adaptor beta
84;submission;TM9SF3;transmembrane 9 superfamily member 3
83;submission;PCDHB12;protocadherin beta 12
83;submission;CREBRF;CREB3 regulatory factor
83;submission;SH3GLB1;SH3 domain containing GRB2 like, endophilin B1
83;submission;CASD1;CAS1 domain containing 1
83;submission;ABLIM1;actin binding LIM protein 1
83;submission;C8orf44;chromosome 8 open reading frame 44
83;submission;PTAR1;protein prenyltransferase alpha subunit repeat containing 1
83;submission;STAT2;signal transducer and activator of transcription 2
83;submission;CBX5;chromobox 5
83;submission;HS3ST2;heparan sulfate-glucosamine 3-sulfotransferase 2
83;submission;WWP1;WW domain containing E3 ubiquitin protein ligase 1
82;submission;LRRC47;leucine rich repeat containing 47
82;submission;DPY19L2;dpy-19 like 2
82;submission;LIPG;lipase G, endothelial type
82;submission;RTCB;RNA 2',3'-cyclic phosphate and 5'-OH ligase
82;submission;SDC4;syndecan 4
82;submission;PYHIN1;pyrin and HIN domain family member 1
82;submission;PCDH18;protocadherin 18
82;submission;PTPN4;protein tyrosine phosphatase, non-receptor type 4
82;submission;SYNPO2;synaptopodin 2
82;submission;RHNO1;RAD9-HUS1-RAD1 interacting nuclear orphan 1
82;submission;FBXO17;F-box protein 17
82;submission;SYT16;synaptotagmin 16
82;submission;AASDHPPT;aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
82;submission;CDK17;cyclin dependent kinase 17
81;submission;SLBP;stem-loop binding protein
81;submission;NEGR1;neuronal growth regulator 1
81;submission;GDI2;GDP dissociation inhibitor 2
81;submission;HMGCS1;3-hydroxy-3-methylglutaryl-CoA synthase 1
81;submission;PCBP2;poly(rC) binding protein 2
81;submission;BIN1;bridging integrator 1
80;submission;POC1B;POC1 centriolar protein B
80;submission;GIMAP6;GTPase, IMAP family member 6
80;submission;ZMYND11;zinc finger MYND-type containing 11
80;submission;CCDC113;coiled-coil domain containing 113
80;submission;GRM6;glutamate metabotropic receptor 6
80;submission;PTPRG;protein tyrosine phosphatase, receptor type G
80;submission;MAP7;microtubule associated protein 7
80;submission;CDH10;cadherin 10
80;submission;MAPK10;mitogen-activated protein kinase 10
80;submission;ETFRF1;electron transfer flavoprotein regulatory factor 1
80;submission;YAE1;YAE1, ABCE1 maturation factor
80;submission;LRP8;LDL receptor related protein 8
79;submission;NCALD;neurocalcin delta
79;submission;PFN2;profilin 2
79;submission;CPSF6;cleavage and polyadenylation specific factor 6
79;submission;LSM14A;LSM14A, mRNA processing body assembly factor
79;submission;GABRA1;gamma-aminobutyric acid type A receptor alpha1 subunit
79;submission;UBE4B;ubiquitination factor E4B
79;submission;KBTBD2;kelch repeat and BTB domain containing 2
79;submission;ALG9;ALG9, alpha-1,2-mannosyltransferase
79;submission;MTPAP;mitochondrial poly(A) polymerase
79;submission;SLC4A7;solute carrier family 4 member 7
79;submission;GXYLT1;glucoside xylosyltransferase 1
79;submission;C7orf26;chromosome 7 open reading frame 26
78;submission;LANCL1;LanC like 1
78;submission;HOXA5;homeobox A5
78;submission;PLA2G12A;phospholipase A2 group XIIA
78;submission;GAREM1;GRB2 associated regulator of MAPK1 subtype 1
78;submission;MB21D2;Mab-21 domain containing 2
78;submission;SRSF3;serine and arginine rich splicing factor 3
78;submission;PLXDC2;plexin domain containing 2
78;submission;PLEKHJ1;pleckstrin homology domain containing J1
78;submission;KLHL11;kelch like family member 11
78;submission;SLC44A5;solute carrier family 44 member 5
78;submission;NXPH2;neurexophilin 2
78;submission;FAM126B;family with sequence similarity 126 member B
78;submission;CREB5;cAMP responsive element binding protein 5
78;submission;KHSRP;KH-type splicing regulatory protein
78;submission;KCMF1;potassium channel modulatory factor 1
78;submission;UBE4A;ubiquitination factor E4A
78;submission;NDUFA6;NADH:ubiquinone oxidoreductase subunit A6
78;submission;MYZAP;myocardial zonula adherens protein
78;submission;NLGN4Y;neuroligin 4 Y-linked
77;submission;ST6GALNAC2;ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 2
77;submission;MACC1;MET transcriptional regulator MACC1
77;submission;SNX12;sorting nexin 12
77;submission;SLC30A6;solute carrier family 30 member 6
77;submission;KLHDC10;kelch domain containing 10
77;submission;LRPPRC;leucine rich pentatricopeptide repeat containing
77;submission;ENTPD6;ectonucleoside triphosphate diphosphohydrolase 6 (putative)
77;submission;LSM8;LSM8 homolog, U6 small nuclear RNA associated
77;submission;SMAP1;small ArfGAP 1
77;submission;C1RL;complement C1r subcomponent like
