miRNA Name;Gene Symbol;Gene Description;
98;submission;SENP1;SUMO specific peptidase 1
96;submission;ONECUT2;one cut homeobox 2
96;submission;ZDHHC21;zinc finger DHHC-type containing 21
96;submission;AZIN1;antizyme inhibitor 1
95;submission;TCF3;transcription factor 3
95;submission;MAPK8;mitogen-activated protein kinase 8
95;submission;KIAA2026;KIAA2026
95;submission;L2HGDH;L-2-hydroxyglutarate dehydrogenase
93;submission;RBM39;RNA binding motif protein 39
93;submission;KIF1B;kinesin family member 1B
93;submission;FMR1;fragile X mental retardation 1
92;submission;PDE11A;phosphodiesterase 11A
92;submission;HFM1;HFM1, ATP dependent DNA helicase homolog
91;submission;ZNF474;zinc finger protein 474
91;submission;MARK1;microtubule affinity regulating kinase 1
91;submission;VEGFC;vascular endothelial growth factor C
90;submission;ODR4;odr-4 GPCR localization factor homolog
90;submission;ZNF208;zinc finger protein 208
90;submission;IGF1R;insulin like growth factor 1 receptor
89;submission;C1orf21;chromosome 1 open reading frame 21
89;submission;CDK19;cyclin dependent kinase 19
89;submission;TRA2B;transformer 2 beta homolog
89;submission;GSE1;Gse1 coiled-coil protein
89;submission;JADE2;jade family PHD finger 2
89;submission;FBXO28;F-box protein 28
88;submission;SNAP25;synaptosome associated protein 25
88;submission;TRPM7;transient receptor potential cation channel subfamily M member 7
88;submission;CELF2;CUGBP Elav-like family member 2
88;submission;BIRC3;baculoviral IAP repeat containing 3
88;submission;USP30;ubiquitin specific peptidase 30
87;submission;NKX2-4;NK2 homeobox 4
87;submission;EFNA5;ephrin A5
87;submission;ERAP1;endoplasmic reticulum aminopeptidase 1
87;submission;PKN2;protein kinase N2
87;submission;BAIAP2;BAI1 associated protein 2
87;submission;TOR1AIP2;torsin 1A interacting protein 2
86;submission;GCNT1;glucosaminyl (N-acetyl) transferase 1
86;submission;HSH2D;hematopoietic SH2 domain containing
86;submission;SEMA5B;semaphorin 5B
86;submission;NETO2;neuropilin and tolloid like 2
86;submission;KIAA1217;KIAA1217
86;submission;TSTD2;thiosulfate sulfurtransferase like domain containing 2
86;submission;FZD4;frizzled class receptor 4
86;submission;LRRC74B;leucine rich repeat containing 74B
85;submission;SLC16A2;solute carrier family 16 member 2
85;submission;ST18;ST18, C2H2C-type zinc finger
85;submission;FASTKD1;FAST kinase domains 1
85;submission;ALKBH5;alkB homolog 5, RNA demethylase
85;submission;KLHL5;kelch like family member 5
84;submission;ABCA1;ATP binding cassette subfamily A member 1
84;submission;OSBPL9;oxysterol binding protein like 9
84;submission;BHLHE40;basic helix-loop-helix family member e40
84;submission;PSMD10;proteasome 26S subunit, non-ATPase 10
84;submission;GLP1R;glucagon like peptide 1 receptor
84;submission;TNF;tumor necrosis factor
